#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-04-15-06-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1744698039.961366	CF8h1oYUwvF4N48ge	REDACTED_IP	49763	REDACTED_IP	32780	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	C5LJTN1sB8j5jUzg4l	REDACTED_IP	49763	REDACTED_IP	1417	tcp	-	0.000001	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	CNhgOj4VYNfWKRoP7j	REDACTED_IP	49763	REDACTED_IP	711	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	CVI9QY37D5LekNqamj	REDACTED_IP	49763	REDACTED_IP	1052	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	Cb46Fc1eBI4DNem3O3	REDACTED_IP	49763	REDACTED_IP	5280	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	CojTA22ONkXivcSUXk	REDACTED_IP	49763	REDACTED_IP	687	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961386	CVbSZM1Y18gDRdMDrk	REDACTED_IP	49763	REDACTED_IP	616	tcp	-	0.000005	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	C3zryo2JC6xuWpE2Hj	REDACTED_IP	49763	REDACTED_IP	9102	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	CurjTPnMa0jGrDzOi	REDACTED_IP	49763	REDACTED_IP	5054	tcp	-	0.000068	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.972798	C7uXs04iwcxr40a81a	REDACTED_IP	49763	REDACTED_IP	705	tcp	-	0.000071	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
